,,"Number of commercial bank branches per 1,000 km2","Number of credit union and credit cooperative branches per 1,000 km2","Number of all microfinance institution branches per 1,000 km2","Number of commercial bank branches per 100,000 adults","Number of credit union and credit cooperative branches per 100,000 adults","Number of all microfinance institution branches per 100,000 adults","Number of ATMs per 1,000 km2","Number of ATMs per 100,000 adults","Mobile money agent outlets: active per 100,000 adults","Mobile money agent outlets: active per 1,000 km2","Number of registered mobile money agent outlets per 100,000 adults","Number of registered mobile money agent outlets per 1,000 km2","Number of non-branch retail agent outlets of commercial banks per 1,000 km2","Number of non-branch retail agent outlets of commercial banks per 100,000 adults","Number of insurance corporations per 100,000 adults","Branches of other deposit takers per 1,000 km2","Branches of other deposit takers per 100,000 adults","Number of depositors with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) depositors with commercial banks (% of non-financial corporation depositors with commercial banks),"Number of household sector depositors with commercial banks per 1,000 adults","Number of male depositors of the household sector with commercial banks per 1,000 male adults","Number of female depositors of the household sector with commercial banks per 1,000 female adults","Number of depositors with credit unions and credit cooperatives per 1,000 adults","Number of deposit accounts with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) deposit accounts with commercial banks (% of non-financial corporation deposit accounts with commercial banks),"Number of household sector deposit accounts with commercial banks per 1,000 adults","Number of men-owned deposit accounts of the household sector with commercial banks per 1,000 male adults","Number of women-owned deposit accounts of the household sector with commercial banks per 1,000 female adults","Number of deposit accounts with credit unions and credit cooperatives per 1,000 adults","Number of borrowers from commercial banks per 1,000 adults",Number of small and medium enterprise (SME) borrowers from commercial banks (% of non-financial corporation borrowers from commercial banks),"Number of household sector borrowers from commercial banks per 1,000 adults","Number of male borrowers of the household sector from commercial banks per 1,000 male adults","Number of female borrowers of the household sector from commercial banks per 1,000 female adults","Number of borrowers from credit unions and credit cooperatives per 1,000 adults","Number of borrowers from all microfinance institutions per 1,000 adults","Number of male borrowers of the household sector from all microfinance institutions per 1,000 male adults","Number of female borrowers of  the household sector from all microfinance institutions per female 1,000 adults","Number of loan accounts with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) loan accounts with commercial banks (% of non-financial corporation loan accounts with commercial banks),"Number of household sector loan accounts with commercial banks per 1,000 adults","Number of men-owned loan accounts of the household sector with commercial banks per 1,000 male adults","Number of women-owned loan accounts of the household sector with commercial banks per 1,000 female adults","Number of loan accounts with credit unions and credit cooperatives per 1,000 adults","Number of loan accounts with all microfinance institutions per 1,000 adults","Number of men-owned loan accounts of the household sector with all microfinance institutions per 1,000 male adults","Number of women-owned loan accounts of the household sector with all microfinance institutions per 1,000 female adults",Outstanding deposits with commercial banks (% of GDP),Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP),Outstanding deposits of household sector with commercial banks (% of GDP),Outstanding deposits with credit unions and credit cooperatives (% of GDP),Outstanding loans from commercial banks (% of GDP),Outstanding small and medium enterprise (SME) loans from commercial banks (% of GDP),Outstanding loans from commercial banks to household sector (% of GDP),Outstanding loans from credit unions and credit cooperatives (% of GDP),Outstanding loans from all microfinance institutions (% of GDP),"Number of registered mobile money accounts per 1,000 adults","Number of active mobile money accounts per 1,000 adults",Outstanding balances on active mobile money accounts (% of GDP),"Number of mobile money transactions (during the reference year) per 1,000 adults",Value of mobile money transactions (during the reference year) (% of GDP),"Number of credit cards per 1,000 adults","Number of debit cards per 1,000 adults","Number of mobile and internet banking transactions (during the reference year) per 1,000 adults",Value of mobile and internet banking transactions (during the reference year) (% of GDP),"Number of life insurance policies per 1,000 adults",Policies with insurance corporations: o/w non-life insurance,Average number of mobile money transactions per active mobile money account
,2016,19.94,,,29.41,,,34.11,50.3,0,0,0,0,,,0.39,,,,,,,,,,,"2,161.61",,,,560.28,,544.23,,,,,,,738.8,,715.27,,,,,,,44.54,,28.29,,43.33,,18.59,,,0,0,0,0,0,184.12,983.27,"18,155.79",323.33,190.93,"4,776,716.00",
,2017,18.87,,,27.92,,,30.7,45.43,0,0,0,0,,,0.36,,,,,,,,,,,"2,059.63",,,,558.26,,544.78,,,,,,,743.58,,723.05,,,,,,,43.73,,27.37,,42.16,,19.04,,,0,0,0,0,0,195.09,"1,029.88","20,922.74",335.1,187.52,"4,983,644.00",
,2018,18.52,,,27.52,,,32.56,48.38,0,0,0,0,,,0.34,,,,,,,,,,,"2,077.19",,,,542.36,,530.92,,,,,,,745.6,,727.2,,,,,,,46.84,24.41,28.06,,43.46,19.32,20.1,,,0,0,0,0,0,200.72,"1,114.38","24,242.18",348.47,203.87,"5,517,817.00",
,2019,18.51,,,27.6,,,33.76,50.34,0,0,0,0,,,0.34,,,,,,,,,,,"2,060.06",,,,538.06,,526.28,,,,,,,764.11,,744.88,,,,,,,46.8,26.74,29.43,,44.34,19.89,20.57,,,0,0,0,0,0,206.2,"1,252.98","27,772.93",395.76,215,"6,257,745.00",
Seychelles,2010,69.57,6.52,,46.18,4.33,,67.39,44.74,,,,,,,4.33,,,702.26,,,,,,"1,687.55",,,,,,128.25,,,,,,,,,199.56,,,,,,,,,58.01,,,,26.59,,,,,,,,,,,676.28,,,41.12,"22,562.00",
,2011,69.57,6.52,,47.42,4.45,,67.39,45.93,,,,,,,5.93,,,737.09,,,,,,"1,750.31",,,,,,135.54,,,,,,,,,221.64,,,,,,,,,52.74,,,,25.32,,,,,,,,,,,804.84,,,49.77,"24,673.00",
,2012,71.74,6.52,,48.42,4.4,,76.09,51.36,,,,,,,5.87,,,"1,028.20",,,,,,"2,073.28",,,,,,155.03,,,,,,,,,236.34,,,,,,,,,46.44,,,,24.27,,,,,,,,,,,816.07,,,191.72,"25,370.00",
,2013,73.91,6.52,,49.02,4.33,,97.83,64.89,,,,,,,5.77,,,"1,704.08",,,,,,"1,996.50",,,,,,208.71,,,,,,,,,220.91,,,,,,,,,52.51,,,,21.9,,,,,,,,,,,879.05,,,205.7,"27,105.00",
,2014,82.61,6.52,,54.04,4.27,,102.17,66.84,,,,,,,8.53,,,"1,675.49",,,"1,044.60","1,221.17",,"2,094.02",,,"1,234.86","1,483.17",,228.36,,,176.88,227.72,,,,,278.19,,,188.69,243.92,,,,,64.33,,,,25.82,,,,,,,,,,30.76,914.5,,,205.94,"32,658.00",
,2015,84.78,6.52,,54.36,4.18,,104.35,66.91,,,76.66,119.57,,,6.97,,,"1,742.20",,,"1,082.77","1,248.08",,"2,069.99",,,"1,243.24","1,473.73",,210.74,,,163.05,213.77,,,,,239.17,,,177.57,231.83,203.87,,,,61.15,,,,30.99,,,,,21.22,,,170.85,0.02,38.75,922.89,,,205.84,"21,938.00",
,2016,84.78,6.52,,53.72,4.13,,115.22,73,,,111.57,176.09,,,6.89,,,"1,765.06",,,"1,120.50","1,269.84",,"2,112.51",,,"1,301.94","1,510.10",,218.42,,,177.16,222.5,,,,,261.32,,,193.11,246.08,,,,,65.79,,,,32.48,,,,,26.76,,,790.67,0.08,56.35,"1,109.45",,,273.97,"62,173.00",
,2017,84.78,6.52,,53.18,4.09,,128.26,80.45,,,103.63,165.22,,,6.82,,,"1,824.18",,,"1,142.90","1,269.31",,"2,195.04",,,"1,362.14","1,775.25",,256.71,,,185.91,241.2,,,,,328.63,,,207.63,265.5,,,,,63.2,,,,33.5,,,,,28.72,,,"1,110.46",0.11,66.63,"1,154.92",,,360.46,"55,194.00",
,2018,82.61,6.52,,51.43,4.06,,134.78,83.91,,,128.57,206.52,,,8.12,,,"1,848.59",7.05,"1,044.58","1,511.20","1,643.09",,"2,236.63",7.95,"1,396.47","1,855.42","2,003.12",,263.64,23.63,189.06,181.78,232.64,,,,,337.34,26.52,247.06,249.76,317.07,40.25,,,,81.02,6.7,30.6,,33.23,2.9,10.64,,,29.23,,,444.27,0.1,75.91,"1,005.20","1,991.47",24.62,180.01,"36,072.00",
,2019,89.13,6.52,,55.07,4.03,,145.65,89.99,145.06,234.78,145.06,234.78,,,8.06,,,"2,424.75",11.45,"1,655.30","1,574.77","1,678.02",,"2,946.41",12.36,"2,046.62","1,912.54","2,063.99",,334.24,30.89,269.97,240.28,294.03,,,,,390.79,36.03,306.5,263.99,333.1,,,,,78.65,7.95,33.77,,32.87,12.56,12.5,,,29.24,29.24,0.02,933.46,0.1,86.04,"1,083.06","3,585.87",38.49,170.17,"38,914.00",31.92
Sierra Leone,2010,1.3,,,2.57,,,0.19,0.38,,,,,,,0.27,0.08,0.16,167.94,,,,,,,,,,,,10.29,,,,,,,,,,,,,,,,,,17.8,,,,8.53,,,,,,,,,,,,,,,,
,2011,1.37,,,2.64,,,0.19,0.37,,,,,,,0.27,0.1,0.19,137.04,,,,,,,,,,,,10.33,,,,,,,,,,,,,,,,,,18,,,,8.38,,,,,,,,,,,,,,,,
,2012,1.41,,,2.65,,,0.19,0.36,,,,,,,0.26,0.1,0.18,156.77,,,,,,,,,,,,14.23,,,,,,,,,,,,,,,,,,17.13,,,,6.97,,,,,,,,,,,,,,,,
Singapore,2010,611.11,,,9.83,,,"3,676.64",59.11,,,,,,,3.57,51.28,0.82,"2,040.60",,,,,,,,,,,,925.31,,,,,,,,,,,,,,,,,,132.66,,,,98.7,,,,,,,,,,"1,722.44","2,253.89",,,,,
,2011,609.37,,,9.6,,,"3,791.19",59.7,,,,,,,3.62,51.14,0.81,"2,079.46",,,,,,,,,,,,"1,006.88",,,,,,,,,,,,,,,,,,137.49,,,,119.66,,,,,,,,,,"1,864.18","2,282.72",,,,,
,2012,613.31,,,9.42,,,"3,854.11",59.22,,,,,,,3.57,50.99,0.78,"2,105.91",,,,,,,,,,,,"1,039.31",,,,,,,,,,,,,,,,,,140.69,,,,133.07,,,,,,,,,,"2,034.26","2,303.98",,,,,
,2013,603.96,,,9.11,,,"3,857.14",58.21,,,,,,,3.71,50.92,0.77,"2,144.11",,,,,,,,,,,,"1,088.30",,,,,,,,,,,,,,,,,,139.68,,,,149.21,,,,,,,,,,"2,040.24","2,328.07",,,,,
,2014,605.08,,,9.01,,,"3,863.19",57.5,,,,,,,3.78,50.78,0.76,"2,176.41",,,,,,,,,,,,"1,116.65",,,,,,,,,,,,,,,,,,137.95,,,,152.2,,,,,,,,,,"1,376.90","2,254.92",,,,,
,2015,610.72,,,8.95,,,"3,959.10",58.05,,,,,,,3.83,50.78,0.74,"2,185.44",,,,,,,,,,,,"1,113.48",,,,,,,,,,,,,,,,,,132.25,,,,141.64,,,,,,,,,,"1,367.05","2,125.63",,,,,
,2016,602.26,,,8.68,,,"3,871.65",55.81,,,,,,,3.78,50.78,0.73,"2,200.85",,,,,,,,,,,,"1,165.39",,,,,,,,,,,,,,,,,,135.53,,,,140.24,,,,,,,,,,"1,355.52","2,158.11",,,,,
,2017,571.23,,,8.22,,,"4,385.05",63.1,,,,,,,3.73,50.78,0.73,"2,226.86",,,,,,,,,,,,"1,121.26",,,,,,,,,,,,,,,,,,128.45,,,,138.1,,,,,,,,,,"1,331.70","2,223.37",,,,,
,2018,567,,,8.13,,,"4,506.35",64.59,,,,,,,3.72,50.78,0.73,"2,268.14",,,,,,,,,,,,"1,087.73",,,,,,,,,,,,,,,,,,124.71,,,,133.44,,,,,,,,,,"1,330.49","1,916.41",,,,,
,2019,551.48,,,7.82,,,"4,145.27",58.78,,,,,,,3.72,50.78,0.72,"2,316.98",,,,,,,,,,,,"1,083.05",,,,,,,,,,,,,,,,,,134.67,,,,136.42,,,,,,,,,,"1,355.83","1,906.84",,,,,
Slovak Republic,2010,24.95,0.02,,26.29,0.02,,48.64,51.24,,,,,255.58,269.27,0.44,0.73,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.31,,29.38,0,40.18,,18.9,0,,,,,,,186.87,951.22,,,"2,089.21","7,275,994.00",
,2011,24.7,0.04,,25.97,0.04,,50.01,52.58,,,,,189.71,199.44,0.44,0.73,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.92,,30.07,0,41.94,,20.28,0,,,,,,,177.29,988.56,,,"2,073.46","7,578,388.00",
,2012,25.39,0.04,,26.63,0.04,,52.15,54.7,,,,,195.31,204.82,0.39,0.64,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.72,,30.82,0,41.8,7.77,21.58,0,,,,,,,134.78,867.75,,,"2,110.24","7,709,491.00",
,2013,25.68,0.04,,26.89,0.04,,53.67,56.21,,,,,184.29,192.99,0.37,0.64,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.09,,31.19,0,43.06,8.46,23.63,0.02,,,,,,,134.8,905.71,,,"2,129.37","7,933,270.00",
,2014,26.75,0.04,,27.98,0.04,,56.3,58.91,,,,,189.35,198.11,0.37,0.64,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.31,,31.52,0,44.79,8.51,26.13,0.02,,,,,,,194.1,947.67,,,"2,134.93","8,253,225.00",
,2015,27.02,0.04,,28.26,0.04,,56.88,59.51,,,,,176.16,184.28,0.35,0.62,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.59,,32.86,0,47.8,8.74,28.34,0.02,,,,,,,200.82,984.72,,,"1,976.64","8,624,139.00",
,2016,27.04,0.04,,28.25,0.04,,57.51,60.08,,,,,175.92,183.79,0.35,0.62,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1,,35.23,0,52.24,10.15,32.08,0.02,,,,,,,193.61,"1,019.12",,,,,
,2017,25.77,0.04,,26.91,0.04,,58.11,60.67,,,,,131.14,136.92,0.35,0.62,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.79,,35.25,0,55.3,9.98,34.65,0.01,,,,,,,171.12,977.86,,,,,
,2018,24.52,0.04,,25.6,0.04,,59.26,61.86,,,,,129.6,135.3,0.3,0.58,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.26,,35.58,0,57.21,9.68,36.74,0,,,,,,,167.05,"1,025.57",,,,,
,2019,23.77,0.04,,24.81,0.04,,59.26,61.84,,,,,126.98,132.51,0.28,0.56,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3,,36.56,0,58.19,9.73,38.02,0,,,,,,,150.2,"1,053.39",,,,,
Slovenia,2010,33.9,,,38.76,,,90.04,102.95,,,,,,,1.19,1.64,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.21,,40.85,,87.97,,25.01,,,,,,,,869.18,"1,556.47","41,467.66",410.7,,,
,2011,33.51,,,38.32,,,91.58,104.74,,,,,,,1.25,1.69,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.73,,40.73,,84.24,,24.96,,,,,,,,901.74,"1,420.63","45,823.01",677.46,,,
,2012,33.65,,,38.47,,,88.8,101.5,,,,,,,1.25,1.84,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.01,,41.41,,81.43,,24.93,,,,,,,,911.5,"1,437.77","47,732.01",681.59,,,
,2013,30.14,,,34.43,,,88.13,100.69,,,,,,,1.19,2.14,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.06,,39.49,,67.38,,23.77,,,,,,,,954.7,"1,441.62","50,709.38",862.43,,,
,2014,27.86,,,31.83,,,84.01,96.01,,,,,,,1.13,2.58,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.27,,39.83,,56.08,,22.43,,,,,,,,711.55,"1,435.85","54,688.41",892.4,,,
,2015,27.26,,,31.18,,,83.9,95.98,,,,,,,1.19,2.98,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.01,,39.54,,50.57,,21.85,,,,,,,,713.93,"1,494.24","59,078.85",871.71,,,
,2016,26.76,,,30.63,,,83.21,95.24,,,,,,,1.19,2.98,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.42,,40.45,,46.61,,21.69,,,,,,,,705.17,"1,477.35","62,689.53",653.62,,,
,2017,25.72,,,29.46,,,81.72,93.61,,,,,,,1.08,2.83,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.41,,39.91,,44.42,,21.61,,,,,,,,724.19,"1,494.78","64,877.24",559.08,,,
,2018,24.43,,,27.92,,,78.44,89.65,,,,,,,1.08,2.68,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.24,,39.84,,42.92,,21.6,,,,,,,,765.72,"1,563.34","67,564.95",529.87,,,
,2019,24.18,,,27.47,,,76.71,87.16,,,,,,,1.02,2.63,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.69,,41.14,,42.22,,21.71,,,,,,,,784.49,"1,587.08","71,838.27",532.78,,,
Solomon Islands,2010,0.5,0.32,,4.48,2.88,,1.25,11.19,,,,,,,0.96,0,0,,,,,,13.23,294.3,,,,,,,,,,,,,,,45.34,,,,,,,,,31.77,,6.16,0.56,19.86,,5.46,0.56,,,,,,,,,,,,,
,2011,0.46,0.32,,4.04,2.8,,1.29,11.2,,,,,,,0.93,0,0,,,,,,19.66,286.31,,,,,,,,,,,,,,,44.11,,,,,,,,,21.65,,5.07,0.55,15.87,,4.37,0.52,,,,,,,,,,,,,
,2012,0.46,0.36,,3.93,3.03,,1.36,11.5,,,,,,,0.91,0,0,298.37,,,,,17.09,301.63,,,,,,15.95,,,,,,,,,42.89,,,,,,,,,23.13,,5.88,0.46,14.99,,4.73,0.45,,,,,,,,,,,,,
,2013,0.43,0.36,,3.53,2.94,,1.36,11.19,11.19,1.36,13.54,1.64,,,0.88,0,0,248.87,,,,,16.78,248.87,,,,,,35.7,,,,,,,,,35.7,,,,,,,,,26.99,,6.28,0.45,16.31,,5.4,0.44,,44.8,28,,522.09,0.04,,,,,,,18.65
,2014,0.5,0.39,,4.01,3.15,,1.39,11.16,33.21,4.14,36.93,4.61,,,1.15,0,0,436.14,,,,,17.53,447.91,,,,,,39.4,,,,,,,,,39.57,,,,,,,,,26.9,,7.78,0.46,18.19,,6.72,0.44,,95.67,52.99,0.61,"4,988.53",1.32,,,,,,,94.15
,2015,0.5,0.39,,3.9,3.06,,1.46,11.41,39.25,5.04,46.2,5.93,,,1.11,0,0,451.43,,,,,17.35,479.2,,,,,,26.85,,,,,,,,,38.75,,,,,,,,,28.44,,6.59,0.53,20.06,,6.73,0.44,,123.05,54.25,0.64,"7,828.86",2.28,,,,,,,144.31
,2016,0.54,0.39,,4.06,2.98,,1.5,11.38,51.49,6.79,73.71,9.72,,,1.08,0,0,482.61,,,,,16.5,503.53,,,,,,29.02,,,,,,,,,29.82,,,,,,,,,30.02,,6.09,0.47,21.17,,7.09,0.42,,285.75,146.54,0.54,"9,509.75",3.23,,,,,,,64.9
,2017,0.57,0.36,,4.22,2.64,,1.61,11.86,46.66,6.32,61.68,8.36,,,1.05,0,0,510.22,,,,,16.48,528.42,,,,,,26.7,,,,,,,,,27.3,,,,,,,,,30.37,,5.82,0.47,21.33,,6.72,0.42,,254.53,132.96,0.18,"2,210.14",4.38,,,,,,,16.62
South Africa,2010,2.9,,,9.77,,,16.43,55.32,,,,,,,0.4,2.06,6.92,,,,,,,959.66,,,,,0.78,,,,,,,,,,,,,,,,,,,40.86,,19.25,0.01,66.99,,40.28,0,,,,,,,,,,,,,
,2011,3.09,,,10.24,,,17.28,57.27,,,,,,,0.4,2.07,6.86,,,,,,,993.13,,,,,0.86,,,,,,,,,,543.14,,,,,,,,,41.54,,19.28,0,64.71,,38.85,0,,,,,,,,,,,,,
,2012,3.05,,,9.92,,,17.52,57.09,,,,,,,0.39,2.04,6.64,,,,,,,"1,308.31",,,,,0.86,,,,,,,,,,507.16,,,,,,,,,41.27,,19.63,0.01,65.64,,39.76,0,,,,,,,,,,,,,
,2013,3.15,,,10.07,,,18.13,58.04,10.36,3.24,10.42,3.25,,,0.38,2.06,6.58,,,,,,,"1,536.00",,,,,0.77,,,,,,,,,,438.39,,,,,,,,,40.99,,19.7,0.01,64.02,,38.39,0,,72.32,6.48,0,190.94,0.05,,,,,,,29.48
,2014,3.44,,,10.83,,,20.81,65.5,4.72,1.5,30.7,9.75,,,0.34,2.04,6.42,,,,,,,"1,609.58",,,,,0.64,,,,,,,,,,417.37,,,,,,,,,41.62,,20.73,0.01,63.7,,36.97,0,,112.56,24.17,0,159.26,0.05,,,,,,,6.59
,2015,3.36,,,10.42,,,22.21,68.79,3.65,1.18,17.29,5.58,,,0.34,1.97,6.12,,,,,,,"1,554.71",,,,,0.76,,,,,,,,,,414.57,,,,,,,,,43.95,,22.22,0.01,64.35,,36.33,0,,172.59,9.04,0,205.59,0.05,,,,,,,22.74
,2016,3.32,,,10.13,,,22.62,68.96,0,0,1.71,0.56,,,0.32,1.85,5.65,,,,,,,"1,676.69",,,,,0.75,,,,,,,,,,386.11,,,,,,,,,43.76,,22.76,0.01,62.85,,33.98,0,,127.17,0,0,89.75,0.03,,,,,,,
,2017,3.46,,,10.4,,,22.55,67.75,,,,,,,0.31,1.84,5.54,,,,,,,"1,699.00",,,,,0.69,,,,,,,,,,388.86,,,,,,,,,44.13,,23.44,0.01,61.33,,33.06,0,,,,,,,,,,,,,
,2018,3.43,,,10.16,,,22.61,66.95,,,,,,,0.4,1.82,5.39,,,,,,,"1,441.02",,,,,0.67,,,,,,,,,,397.45,,,,,,,,,44.81,,24.05,0.01,60.87,,33.36,0.01,,,,,,,,,,,,,
,2019,3.29,,,9.59,,,22.39,65.31,,,,,,,0.38,1.82,5.31,,,,,,,"1,564.10",,,,,0.73,,,,,,,,,,428.42,,,,,,,,,46.26,,25.21,0.01,61.49,,34.08,0.01,,,,,,,,,,,,,
South Sudan,2010,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,,2.34,,0.46,,0.33,,,,,,,,,,,,,,
,2011,0.07,,,0.75,,,0.05,0.63,,,,,,,,,,21.89,57.64,12.56,,,,22.41,57.06,12.79,,,,0.92,75.2,0.55,,,,,,,1.02,97.77,0.65,,,,,,,5.77,1.8,3.61,,0.56,0.2,0.3,,,,,,,,,,,,,,
,2012,0.09,,,0.96,,,0.06,0.66,,,,,,,,,,29.36,84.37,19.47,,,,30.1,81.93,19.76,,,,1.39,76.15,0.84,,,,,,,1.56,94.75,0.97,,,,,,,10.59,4.44,5.63,,1.25,0.53,0.57,,,,,,,,,,,,,,
,2013,0.14,,,1.47,,,0.07,0.75,,,,,,,,,,40.43,70.09,25.09,,,,41.08,68.54,25.27,,,,1.7,75.13,1.02,,,,,,,1.88,98.26,1.19,,,,,,,7.96,2.86,4.67,,1.23,0.53,0.51,,,,,,,,,,,,,,
,2014,0.18,,,1.9,,,0.1,1.11,,,,,,,,,,57.24,83.11,44.59,,,,62.74,82.06,47.47,,,,2.34,93.88,2.25,,,,,,,2.35,91.6,2.26,,,,,,,15.48,9.96,4.93,,1.75,1,0.64,,,,,,,,,,,,,,
,2015,0.16,,,1.62,,,0.1,1.05,,,,,,,,,,74.17,87.44,67.54,,,,83.55,86.36,76,,,,1.73,84.87,1.18,,,,,,,1.82,92.34,1.23,,,,,,,36.7,19.45,13.9,,2.81,1.42,0.67,,,,,,,,,,,,,,
,2016,0.16,,,1.65,,,0.08,0.86,,,,,,,,,,79.67,93.79,64.38,,,,109.6,71.16,79.91,,,,1.24,94.8,1.17,,,,,,,1.31,95.4,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,0.14,,,1.46,,,0.05,0.51,,,,,,,,,,81.72,100,60.61,91.62,30.07,,97.79,100,72.47,108.88,36.6,,0.71,100,0.64,1.01,0.27,,,,,0.72,100,0.65,1.03,0.27,,,,,,,,,,,,,,,,,,,,6.13,,,,,
,2018,0.14,,,1.38,,,0.05,0.49,,,,,,,,,,81.82,100,74.01,120.93,27.78,,90.08,100,80.96,131.94,30.72,,0.57,100,0.38,0.57,0.19,,,,,0.64,100,0.43,0.67,0.19,,,,,,,,,,,,,,,,,,,0.24,14.46,,,,,
,2019,0.14,,,1.41,,,0.07,0.67,,,,,,,,,,104.95,99.86,95.02,138.36,52.29,,113.78,,101.66,148.96,55.03,,0.57,100,0.41,0.66,0.17,,,,,0.57,100,0.42,0.67,0.17,,,,,,,,,,,,,,,,,,,0.24,16.62,,,,,
Spain,2010,76.14,10.2,,95.93,12.85,,118.62,149.44,,,,,,,1.03,0.54,0.68,,,,,,,"2,286.11",,,,,249.76,,,,,,,,,,703.44,,592.21,,,43.82,,,,79.6,,60.2,7.03,150.17,,73.06,8.93,,,,,,,"1,362.81","1,041.09",,,,,
,2011,70.32,9.93,,88.42,12.49,,117.1,147.23,,,,,,,1,0.52,0.65,,,,,,,"2,181.66",,,,,252.09,,,,,,,,,,719.08,,592.68,,,36.87,,,,78.16,,60.62,7.15,144.37,,71.59,8.81,,,,,,,"1,363.56","1,027.18",,,,,
,2012,66.69,9.6,,83.89,12.07,,108.24,136.14,,,,,,,0.97,0.48,0.6,,,,,,,"2,099.90",,,,,250.55,,,,,,,,,,731.68,,604.49,,,35.5,,,,80.75,,63.26,7.26,133.51,,70.6,8.74,,,,,,,"1,292.70","1,159.55",,,,,
,2013,58.36,9.15,,73.61,11.54,,103.64,130.73,,,,,,,0.95,0.37,0.47,,,,,,,"2,043.46",,,,,249.01,,,,,,,,,,831.79,,722.91,,,34.26,,,,85.06,,66.06,7.77,121.57,,67.33,8.46,,,,,,,"1,285.81","1,210.30",,,,,
,2014,55.1,8.95,,69.68,11.32,,93.83,118.66,,,,,,,0.91,0.36,0.46,,,,,,,"1,987.18",,,,,225.08,,,,,,,,,,869.83,,758.06,,,48.75,,,,83.06,,64.6,8.06,111.14,,63.37,8.17,,,,,,,"1,200.63","1,275.49",,,,,
,2015,53.4,8.92,,67.51,11.27,,92.37,116.78,,,,,,,0.89,0.33,0.42,,,,,,,"1,925.46",,,,,218.95,,,,,,,,,,851.04,,737.45,,,72.13,,,,79.37,,61.65,7.95,101.22,,57.87,7.79,,,,,,,"1,248.85","1,326.42",,,,,
,2016,49.02,8.72,,61.81,11,,89.66,113.04,,,,,,,0.87,0.33,0.41,,,,,,,"1,867.22",,,,,214.61,,,,,,,,,,837.24,,738.85,,,81.9,,,,79.09,,60.95,8.14,94.69,,54.79,7.49,,,,,,,"1,155.14","1,407.06",,,,,
,2017,46.6,8.5,,58.57,10.69,,88.95,111.8,,,,,,,0.86,0.32,0.4,,,,,,,"1,892.56",,,,,207.2,323.33,,305.72,,,46.55,,,,939.64,85.2,832.14,,,80.82,,,,77.89,,58.67,8.16,88.75,,51.82,7.17,,,,,,,"1,252.83","1,405.63",,,,,
,2018,44.05,8.41,,55.11,10.52,,86.73,108.5,,,,,,,0.84,0.31,0.39,,,,,,,"1,798.75",,,,,219,316.02,,298.99,,,47.08,,,,"1,025.51",84.14,909.6,,,90.84,,,,78.21,,59.04,8.17,82.72,,49.73,7.12,,,,,,,"1,286.00","1,418.19",,,,,
,2019,39.98,8.16,,49.66,10.13,,85.57,106.31,,,,,,,0.81,0.31,0.38,,,,,,,"1,780.46",,,,,216.32,329.73,,312.57,,,47.99,,,,"1,018.27",83.69,900.15,,,92.64,,,,79.49,,60.26,8.25,78.68,,47.77,6.95,,,,,,,"1,252.76","1,440.41",,,,,
Sri Lanka,2010,38.24,,,15.86,,,32.21,13.36,,,,,,,,9.07,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.58,,,,27.51,,,,,,,,,,,,,,,,
,2011,42,,,17.28,,,36.58,15.05,,,,,,,,9.74,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.44,,,,32.26,,,,,,,,,,,,,,,,
,2012,43.9,,,18.01,,,38.51,15.8,,,,,,,,10.16,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.06,,,,32.42,,,,,,,,,,,,,,,,
